"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 21 15:03:59 GMT 2021","Sun Nov 21 15:04:01 GMT 2021","1973","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest2","selenideSearchTest2()",""
"passed","Sun Nov 21 15:04:07 GMT 2021","Sun Nov 21 15:04:09 GMT 2021","2318","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest4","selenideSearchTest4()",""
"passed","Sun Nov 21 15:03:47 GMT 2021","Sun Nov 21 15:03:59 GMT 2021","11575","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest","selenideSearchTest()",""
"failed","Sun Nov 21 15:04:01 GMT 2021","Sun Nov 21 15:04:07 GMT 2021","5608","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest3","selenideSearchTest3()",""
