"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 21 15:25:55 GMT 2021","Sun Nov 21 15:25:57 GMT 2021","1983","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest3","selenideSearchTest3()",""
"passed","Sun Nov 21 15:25:53 GMT 2021","Sun Nov 21 15:25:55 GMT 2021","2117","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest2","selenideSearchTest2()",""
"passed","Sun Nov 21 15:25:44 GMT 2021","Sun Nov 21 15:25:53 GMT 2021","8887","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest","selenideSearchTest()",""
"passed","Sun Nov 21 15:25:57 GMT 2021","Sun Nov 21 15:25:59 GMT 2021","2037","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest4","selenideSearchTest4()",""
