"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 21 15:10:48 GMT 2021","Sun Nov 21 15:10:54 GMT 2021","5747","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest","selenideSearchTest()",""
"failed","Sun Nov 21 15:10:56 GMT 2021","Sun Nov 21 15:11:02 GMT 2021","6129","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest3","selenideSearchTest3()",""
"passed","Sun Nov 21 15:10:54 GMT 2021","Sun Nov 21 15:10:56 GMT 2021","1917","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest2","selenideSearchTest2()",""
"passed","Sun Nov 21 15:11:02 GMT 2021","Sun Nov 21 15:11:04 GMT 2021","1743","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest4","selenideSearchTest4()",""
