"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 21 15:13:00 GMT 2021","Sun Nov 21 15:13:09 GMT 2021","8620","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest","selenideSearchTest()",""
"passed","Sun Nov 21 15:13:09 GMT 2021","Sun Nov 21 15:13:11 GMT 2021","2166","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest2","selenideSearchTest2()",""
"passed","Sun Nov 21 15:13:17 GMT 2021","Sun Nov 21 15:13:19 GMT 2021","1943","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest4","selenideSearchTest4()",""
"failed","Sun Nov 21 15:13:11 GMT 2021","Sun Nov 21 15:13:17 GMT 2021","6056","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest3","selenideSearchTest3()",""
