"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 21 14:53:03 GMT 2021","Sun Nov 21 14:53:05 GMT 2021","1595","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest4","selenideSearchTest4()",""
"failed","Sun Nov 21 14:52:58 GMT 2021","Sun Nov 21 14:53:03 GMT 2021","5749","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest3","selenideSearchTest3()",""
"passed","Sun Nov 21 14:52:50 GMT 2021","Sun Nov 21 14:52:56 GMT 2021","5506","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest","selenideSearchTest()",""
"passed","Sun Nov 21 14:52:56 GMT 2021","Sun Nov 21 14:52:58 GMT 2021","1851","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest2","selenideSearchTest2()",""
