"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 21 14:41:02 GMT 2021","Sun Nov 21 14:41:04 GMT 2021","2174","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest4","selenideSearchTest4()",""
"passed","Sun Nov 21 14:40:53 GMT 2021","Sun Nov 21 14:40:55 GMT 2021","2772","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest2","selenideSearchTest2()",""
"failed","Sun Nov 21 14:40:55 GMT 2021","Sun Nov 21 14:41:02 GMT 2021","6290","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest3","selenideSearchTest3()",""
"passed","Sun Nov 21 14:40:37 GMT 2021","Sun Nov 21 14:40:52 GMT 2021","15518","","Tests.SearchTests","","Tests.SearchTests","selenideSearchTest","selenideSearchTest()",""
